#Resource, Grinding_harvest_limit, Field_harvest_capacity, Field_hour_capacity, Harvester_hour_capacity
Mill_01,120000,0,0,0
Mill_02,130000,0,0,0
Field_01,0,40000,140,0
Field_02,0,40000,122,0
Field_03,0,40000,115,0
Field_04,0,40000,110,0
Field_05,0,40000,125,0
Field_06,0,40000,130,0
Harvester_01,0,0,0,30
Harvester_02,0,0,0,30
Harvester_03,0,0,0,30
Harvester_04,0,0,0,30
Harvester_05,0,0,0,30
Harvester_06,0,0,0,30
Harvester_07,0,0,0,30
Harvester_08,0,0,0,30
Harvester_09,0,0,0,30
Harvester_10,0,0,0,30
