Origem,Destino,Ditância em KM
Cidade_001,Cidade_002,90
Cidade_001,Cidade_003,31
Cidade_001,Cidade_004,53
Cidade_001,Cidade_005,14
Cidade_001,Cidade_006,17
Cidade_001,Cidade_007,31
Cidade_001,Cidade_008,28
Cidade_001,Cidade_009,98
Cidade_001,Cidade_010,66
Cidade_001,Cidade_011,41
Cidade_001,Cidade_012,69
Cidade_001,Cidade_013,34
Cidade_001,Cidade_014,95
Cidade_001,Cidade_015,62
Cidade_001,Cidade_016,60
Cidade_001,Cidade_017,71
Cidade_001,Cidade_018,14
Cidade_001,Cidade_019,25
Cidade_001,Cidade_020,9
Cidade_001,Cidade_021,17
Cidade_001,Cidade_022,76
Cidade_001,Cidade_023,36
Cidade_001,Cidade_024,98
Cidade_001,Cidade_025,73
Cidade_002,Cidade_003,22
Cidade_002,Cidade_004,77
Cidade_002,Cidade_005,56
Cidade_002,Cidade_006,94
Cidade_002,Cidade_007,53
Cidade_002,Cidade_008,29
Cidade_002,Cidade_009,71
Cidade_002,Cidade_010,9
Cidade_002,Cidade_011,1
Cidade_002,Cidade_012,19
Cidade_002,Cidade_013,53
Cidade_002,Cidade_014,41
Cidade_002,Cidade_015,56
Cidade_002,Cidade_016,59
Cidade_002,Cidade_017,58
Cidade_002,Cidade_018,43
Cidade_002,Cidade_019,60
Cidade_002,Cidade_020,84
Cidade_002,Cidade_021,2
Cidade_002,Cidade_022,57
Cidade_002,Cidade_023,100
Cidade_002,Cidade_024,93
Cidade_002,Cidade_025,95
Cidade_003,Cidade_004,47
Cidade_003,Cidade_005,42
Cidade_003,Cidade_006,65
Cidade_003,Cidade_007,90
Cidade_003,Cidade_008,30
Cidade_003,Cidade_009,49
Cidade_003,Cidade_010,66
Cidade_003,Cidade_011,40
Cidade_003,Cidade_012,58
Cidade_003,Cidade_013,86
Cidade_003,Cidade_014,87
Cidade_003,Cidade_015,31
Cidade_003,Cidade_016,35
Cidade_003,Cidade_017,75
Cidade_003,Cidade_018,73
Cidade_003,Cidade_019,94
Cidade_003,Cidade_020,90
Cidade_003,Cidade_021,56
Cidade_003,Cidade_022,55
Cidade_003,Cidade_023,64
Cidade_003,Cidade_024,92
Cidade_003,Cidade_025,87
Cidade_004,Cidade_005,28
Cidade_004,Cidade_006,9
Cidade_004,Cidade_007,3
Cidade_004,Cidade_008,10
Cidade_004,Cidade_009,11
Cidade_004,Cidade_010,52
Cidade_004,Cidade_011,25
Cidade_004,Cidade_012,61
Cidade_004,Cidade_013,34
Cidade_004,Cidade_014,2
Cidade_004,Cidade_015,100
Cidade_004,Cidade_016,5
Cidade_004,Cidade_017,9
Cidade_004,Cidade_018,34
Cidade_004,Cidade_019,68
Cidade_004,Cidade_020,57
Cidade_004,Cidade_021,69
Cidade_004,Cidade_022,47
Cidade_004,Cidade_023,70
Cidade_004,Cidade_024,46
Cidade_004,Cidade_025,92
Cidade_005,Cidade_006,71
Cidade_005,Cidade_007,73
Cidade_005,Cidade_008,88
Cidade_005,Cidade_009,36
Cidade_005,Cidade_010,16
Cidade_005,Cidade_011,35
Cidade_005,Cidade_012,26
Cidade_005,Cidade_013,27
Cidade_005,Cidade_014,44
Cidade_005,Cidade_015,63
Cidade_005,Cidade_016,90
Cidade_005,Cidade_017,35
Cidade_005,Cidade_018,58
Cidade_005,Cidade_019,57
Cidade_005,Cidade_020,57
Cidade_005,Cidade_021,9
Cidade_005,Cidade_022,43
Cidade_005,Cidade_023,86
Cidade_005,Cidade_024,95
Cidade_005,Cidade_025,84
Cidade_006,Cidade_007,16
Cidade_006,Cidade_008,41
Cidade_006,Cidade_009,42
Cidade_006,Cidade_010,29
Cidade_006,Cidade_011,88
Cidade_006,Cidade_012,71
Cidade_006,Cidade_013,100
Cidade_006,Cidade_014,23
Cidade_006,Cidade_015,97
Cidade_006,Cidade_016,37
Cidade_006,Cidade_017,7
Cidade_006,Cidade_018,27
Cidade_006,Cidade_019,76
Cidade_006,Cidade_020,43
Cidade_006,Cidade_021,91
Cidade_006,Cidade_022,2
Cidade_006,Cidade_023,34
Cidade_006,Cidade_024,30
Cidade_006,Cidade_025,71
Cidade_007,Cidade_008,22
Cidade_007,Cidade_009,76
Cidade_007,Cidade_010,36
Cidade_007,Cidade_011,1
Cidade_007,Cidade_012,44
Cidade_007,Cidade_013,33
Cidade_007,Cidade_014,6
Cidade_007,Cidade_015,32
Cidade_007,Cidade_016,75
Cidade_007,Cidade_017,16
Cidade_007,Cidade_018,44
Cidade_007,Cidade_019,18
Cidade_007,Cidade_020,35
Cidade_007,Cidade_021,97
Cidade_007,Cidade_022,56
Cidade_007,Cidade_023,71
Cidade_007,Cidade_024,73
Cidade_007,Cidade_025,72
Cidade_008,Cidade_009,87
Cidade_008,Cidade_010,50
Cidade_008,Cidade_011,74
Cidade_008,Cidade_012,26
Cidade_008,Cidade_013,14
Cidade_008,Cidade_014,45
Cidade_008,Cidade_015,2
Cidade_008,Cidade_016,91
Cidade_008,Cidade_017,58
Cidade_008,Cidade_018,34
Cidade_008,Cidade_019,56
Cidade_008,Cidade_020,47
Cidade_008,Cidade_021,68
Cidade_008,Cidade_022,32
Cidade_008,Cidade_023,24
Cidade_008,Cidade_024,97
Cidade_008,Cidade_025,40
Cidade_009,Cidade_010,92
Cidade_009,Cidade_011,42
Cidade_009,Cidade_012,64
Cidade_009,Cidade_013,39
Cidade_009,Cidade_014,30
Cidade_009,Cidade_015,54
Cidade_009,Cidade_016,27
Cidade_009,Cidade_017,43
Cidade_009,Cidade_018,83
Cidade_009,Cidade_019,86
Cidade_009,Cidade_020,62
Cidade_009,Cidade_021,94
Cidade_009,Cidade_022,90
Cidade_009,Cidade_023,41
Cidade_009,Cidade_024,4
Cidade_009,Cidade_025,90
Cidade_010,Cidade_011,67
Cidade_010,Cidade_012,12
Cidade_010,Cidade_013,30
Cidade_010,Cidade_014,22
Cidade_010,Cidade_015,40
Cidade_010,Cidade_016,75
Cidade_010,Cidade_017,2
Cidade_010,Cidade_018,15
Cidade_010,Cidade_019,80
Cidade_010,Cidade_020,62
Cidade_010,Cidade_021,78
Cidade_010,Cidade_022,16
Cidade_010,Cidade_023,7
Cidade_010,Cidade_024,29
Cidade_010,Cidade_025,72
Cidade_011,Cidade_012,58
Cidade_011,Cidade_013,88
Cidade_011,Cidade_014,17
Cidade_011,Cidade_015,64
Cidade_011,Cidade_016,53
Cidade_011,Cidade_017,32
Cidade_011,Cidade_018,70
Cidade_011,Cidade_019,30
Cidade_011,Cidade_020,2
Cidade_011,Cidade_021,89
Cidade_011,Cidade_022,4
Cidade_011,Cidade_023,59
Cidade_011,Cidade_024,86
Cidade_011,Cidade_025,69
Cidade_012,Cidade_013,34
Cidade_012,Cidade_014,87
Cidade_012,Cidade_015,23
Cidade_012,Cidade_016,68
Cidade_012,Cidade_017,100
Cidade_012,Cidade_018,29
Cidade_012,Cidade_019,33
Cidade_012,Cidade_020,89
Cidade_012,Cidade_021,97
Cidade_012,Cidade_022,10
Cidade_012,Cidade_023,57
Cidade_012,Cidade_024,16
Cidade_012,Cidade_025,43
Cidade_013,Cidade_014,14
Cidade_013,Cidade_015,34
Cidade_013,Cidade_016,62
Cidade_013,Cidade_017,23
Cidade_013,Cidade_018,18
Cidade_013,Cidade_019,47
Cidade_013,Cidade_020,46
Cidade_013,Cidade_021,53
Cidade_013,Cidade_022,55
Cidade_013,Cidade_023,7
Cidade_013,Cidade_024,62
Cidade_013,Cidade_025,7
Cidade_014,Cidade_015,93
Cidade_014,Cidade_016,91
Cidade_014,Cidade_017,39
Cidade_014,Cidade_018,46
Cidade_014,Cidade_019,19
Cidade_014,Cidade_020,92
Cidade_014,Cidade_021,19
Cidade_014,Cidade_022,84
Cidade_014,Cidade_023,29
Cidade_014,Cidade_024,36
Cidade_014,Cidade_025,89
Cidade_015,Cidade_016,81
Cidade_015,Cidade_017,95
Cidade_015,Cidade_018,34
Cidade_015,Cidade_019,21
Cidade_015,Cidade_020,70
Cidade_015,Cidade_021,76
Cidade_015,Cidade_022,100
Cidade_015,Cidade_023,100
Cidade_015,Cidade_024,90
Cidade_015,Cidade_025,65
Cidade_016,Cidade_017,10
Cidade_016,Cidade_018,77
Cidade_016,Cidade_019,31
Cidade_016,Cidade_020,72
Cidade_016,Cidade_021,29
Cidade_016,Cidade_022,92
Cidade_016,Cidade_023,26
Cidade_016,Cidade_024,75
Cidade_016,Cidade_025,69
Cidade_017,Cidade_018,57
Cidade_017,Cidade_019,5
Cidade_017,Cidade_020,54
Cidade_017,Cidade_021,37
Cidade_017,Cidade_022,15
Cidade_017,Cidade_023,53
Cidade_017,Cidade_024,31
